id;ano;cidade;data_hora_inicio;data_hora_fim;instituicao_id;edital_id
1;6605;mobile Automotive Route;2020-01-04T07:34:07;2020-01-04T16:35:45;1;1
2;53163;Valleys Producer compressing;2020-01-04T14:11:48;2020-01-04T17:57:40;2;2
3;97886;optimal;2020-01-04T10:17:32;2020-01-04T22:04:40;3;3
4;10990;firewall;2020-01-04T14:16:56;2020-01-04T04:53:26;4;4
5;44704;Enterprise-wide;2020-01-04T05:05:18;2020-01-04T00:11:52;5;5
6;52886;Gorgeous;2020-01-04T15:05:26;2020-01-04T10:15:29;6;6
7;88578;Licensed synthesize Awesome;2020-01-04T16:13:36;2020-01-04T04:34:01;7;7
8;96515;EXE;2020-01-04T02:52:00;2020-01-04T14:27:00;8;8
9;54252;motivating Vatu HDD;2020-01-04T22:25:29;2020-01-04T06:20:38;9;9
10;46721;Outdoors Bedfordshire;2020-01-04T07:39:45;2020-01-04T17:40:34;10;10
